module	manuscript_section	scientific_question	primary_code	primary_data	primary_outputs	advisor_status
00_manuscript_versions	whole manuscript	Which manuscript is the advisor-facing baseline and which is locally enhanced?	Paper/revision/draft.tex	Paper/backups/2026-08-25_repo_organization	Paper/packages/NLS_best_current_2026-07-21	LOCAL_ENHANCED
01_model_and_theory	Introduction; Preliminary	How is the stochastic chain derived and embedded in the CKSTT cascade geometry?	Energy Cascade/Rect Plots/main.cpp	Energy Cascade/Rect Plots/rectangles_N5_R100_f1_to_f2.csv	Paper/revision/cascade_embedding.pdf	ADVISOR_SYNCED
02_long_chain_ness_lte	Long-chain NESS; Local thermodynamic equilibrium	Do long chains form stable profiles and are bulk pair marginals close to rescaled equilibrium marginals?	cpp/simulation/lte_histogram_simd.cpp	lte/n50 data	Paper/revision/action_profiles.pdf; Paper/revision/report_assets/compare_residual_mesh.pdf	ADVISOR_SYNCED + ADVISOR_REQUESTED
03_action_current_scaling	Action-current conductivity	How does the mean conserved action current scale with chain length?	flux/NLS_flux_canonical.cpp	Paper/revision/experiments/flux_validation/production_dt5e-4	Paper/revision/experiments/flux_validation/production_dt5e-4/flux_primary_scaling.pdf	LOCAL_ENHANCED
04_burnin_flux_distribution	Burn-in and finite-time current fluctuations	How should burn-in be selected, and how does log P[J_tau>A] depend on tau and A?	flux/NLS_flux_relaxation_tau.cpp	Paper/revision/experiments/flux_validation/burnin_ld_full100k_2026-08-25	Paper/revision/experiments/flux_validation/burnin_ld_2026-07-10/analysis	ADVISOR_REQUESTED + RUNNING
05_short_chain_fp_density	Short-chain NESS; Fokker--Planck numerics	Can the three-mode stationary density be reconstructed and validated against equilibrium Gibbs slices?	cpp/fp5d/NLS5D_SIMD_NCKDE5D_v2.cpp	KDE/4:15_NN	Paper/revision/eq_validation.png; Paper/revision/neq_density.png	ADVISOR_SYNCED
06_short_chain_stabilization	Mechanism of stabilization	Do angular symmetry breaking and phase locking explain short-chain stabilization?	NN notebooks/FKE_4d.ipynb	KDE/4:15_NN/NLS_FP_density.txt	Paper/revision/symmetry_breaking.png	ADVISOR_SYNCED + LOCAL_ENHANCED
07_generator_spectrum	Eigenfunction of the generator	What observable-dependent slow relaxation mode is visible in backward Monte Carlo data?	cpp/backward/NLS_backward.cpp	KDE/backward_NLS_X.txt	Paper/revision/eigenvalue_scatter.png; Paper/revision/Q1_slices.png	LOCAL_ENHANCED
08_validation_robustness	Numerical validation appendix	Are timestep, larger-n, bath-contrast, gamma, Gibbs, and stationarity conclusions robust?	Paper/revision/scripts/run_gamma_robustness_production.py	Paper/revision/experiments/flux_validation/gamma_robustness_2026-06-21	Paper/revision/experiments/flux_validation/validation_report.md	VALIDATION_ONLY
09_submission_reproducibility	Reproducibility and submission back matter	Can every numerical claim and source path be audited and packaged?	Paper/revision/scripts/run_submission_checks.py	Paper/revision/source_trace_metrics.json	Paper/revision/submission_checks_summary.md	LOCAL_ENHANCED
10_fluctuation_theorem_theory	Fluctuation-theorem theory	Which finite-chain and thermodynamic-limit FT statements follow from the continuous Cartesian model?	flux/NLS_entropy_ft.cpp; flux/NLS_entropy_cloning.cpp	Paper/modules/10_fluctuation_theorem_theory/verify_algebra.py; Paper/modules/10_fluctuation_theorem_theory/verify_n2_theorem.py	Paper/modules/10_fluctuation_theorem_theory/finite_n_ft_proof.pdf; Paper/modules/10_fluctuation_theorem_theory/n2_ft_theorem.pdf	LOCAL_ENHANCED
